Unnamed: 0,City,Latitude,Longitude,Zip_Code,Avg_Price,Cluster_Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,Price_Categories,Cluster_Category
129,Locust Fork,33.520680000000034,-86.81175999999996,35097,97250.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
130,Maplesville,33.520680000000034,-86.81175999999996,36750,122313.04,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
131,Marbury,33.520680000000034,-86.81175999999996,36091,42000.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
132,Margaret,33.520680000000034,-86.81175999999996,35120,189673.12,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
133,Maylene,33.520680000000034,-86.81175999999996,35007,179900.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
134,Maylene,33.520680000000034,-86.81175999999996,35114,226888.24,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
135,McCalla,33.410996423715034,-86.90210606951142,35022,316666.67,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
136,McCalla,33.44012731247806,-86.93374787180235,35020,290191.57,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
137,McCalla,33.461235000000045,-86.86026499999996,35211,60000.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
138,McCalla,33.520680000000034,-86.81175999999996,35111,347757.13,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
139,Midfield,33.442182600000024,-86.92437479999997,35228,43225.64,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
140,Minor,33.512904500000054,-86.92607539999996,35224,107900.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
141,Montevallo,33.07789343695876,-86.87718007058812,35115,200288.95,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
142,Montevallo,33.520680000000034,-86.81175999999996,35007,321300.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
143,Moody,33.515555449090165,-86.62182657871547,35094,524000.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
144,Moody,33.520680000000034,-86.81175999999996,35004,281775.94,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
145,Morris,33.520680000000034,-86.81175999999996,35116,245923.68,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
146,Mount Olive,33.619365957663256,-86.87422180553509,35117,180867.02,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
147,Mountain Brook,33.417701400000055,-86.78756219999997,35216,369900.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
148,Mountain Brook,33.441190000000056,-86.73712575699993,35243,910862.5,2,Theater,Bar,American Restaurant,Lounge,Hotel,Average level,Stores and Plazas
149,Mountain Brook,33.49131200000005,-86.72123859999996,35223,769025.12,2,Theater,Bar,American Restaurant,Lounge,Hotel,Average level,Stores and Plazas
150,Mountain Brook,33.507393300000054,-86.74032389999996,35213,973871.84,2,Theater,Bar,American Restaurant,Lounge,Hotel,Average level,Stores and Plazas
151,Mountain Brook,33.54713730000003,-86.67295219999994,35210,449000.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
152,Mulga,33.532384585062516,-86.99675362257753,35118,73675.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
153,Nauvoo,33.520680000000034,-86.81175999999996,35578,37521.43,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
154,New Castle,33.60569103200004,-86.75777999999997,35217,6000.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
155,Oak Grove,33.469838066241785,-86.97306427774134,35023,199966.67,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
156,Oak Grove,33.532384585062516,-86.99675362257753,35118,114900.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
157,Odenville,33.520680000000034,-86.81175999999996,35120,320122.05,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
158,Odenville,33.520680000000034,-86.81175999999996,35125,28900.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
159,Oneonta,33.520680000000034,-86.81175999999996,35121,277587.86,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
160,Parrish,33.520680000000034,-86.81175999999996,35580,53100.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
161,Pelham,33.308437600000055,-86.74208769999996,35124,437972.5,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
162,Pelham,33.520680000000034,-86.81175999999996,35043,397266.67,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
163,Pell City,33.520680000000034,-86.81175999999996,35125,274661.48,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
164,Pell City,33.520680000000034,-86.81175999999996,35128,252170.09,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
165,Pinson,33.67726577594485,-86.68162124818123,35126,207913.83,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
166,Pleasant Grove,33.471071935354836,-86.97418531214586,35127,121832.5,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
167,Pleasant Grove,33.60569103200004,-86.75777999999997,35217,169900.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
168,Quinton,33.59788829852978,-87.10614843084541,35130,83893.75,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
169,Ragland,33.520680000000034,-86.81175999999996,35131,268953.85,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
170,Ragland,33.520680000000034,-86.81175999999996,35953,24000.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
171,Randolph,33.520680000000034,-86.81175999999996,36792,239900.0,2,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Stores and Plazas
172,Remlap,33.520680000000034,-86.81175999999996,35133,185219.04,1,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Hotels and Social Venues
173,Riverside,33.520680000000034,-86.81175999999996,35135,215627.75,1,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Hotels and Social Venues
174,Shelby,33.520680000000034,-86.81175999999996,35143,193972.09,1,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Hotels and Social Venues
175,Springville,33.520680000000034,-86.81175999999996,35146,303925.09,1,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Hotels and Social Venues
176,Steele,33.520680000000034,-86.81175999999996,35987,150950.0,1,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Hotels and Social Venues
177,Sterrett,33.520680000000034,-86.81175999999996,35147,241195.54,1,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Hotels and Social Venues
178,Sumiton,33.520680000000034,-86.81175999999996,35148,149400.0,1,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Hotels and Social Venues
