City,Zip_Code,Price
"""Chelsea""",35043,449900
"""Chelsea""",35043,444900
"""Chelsea""",35043,440000
"""Chelsea""",35043,439325
"""Chelsea""",35043,439000
"""Chelsea""",35043,434900
"""Chelsea""",35043,434900
"""Chelsea""",35043,424900
"""Chelsea""",35043,423900
"""Chelsea""",35043,422400
"""Chelsea""",35043,419900
"""Chelsea""",35043,417900
"""Chelsea""",35043,416900
"""Chelsea""",35043,415000
"""Chelsea""",35043,410900
"""Chelsea""",35043,410000
"""Pelham""",35043,399900
"""Chelsea""",35043,399900
"""Chelsea""",35043,399900
"""Chelsea""",35043,399000
"""Pelham""",35043,399000
"""Chelsea""",35043,398900
"""Chelsea""",35043,395000
"""Chelsea""",35043,393151
"""Pelham""",35043,392900
"""Chelsea""",35043,389900
"""Chelsea""",35043,389900
"""Chelsea""",35043,389000
"""Chelsea""",35043,387900
"""Chelsea""",35043,385900
"""Chelsea""",35043,385900
"""Chelsea""",35043,384900
"""Chelsea""",35043,380000
"""Chelsea""",35043,375000
"""Chelsea""",35043,374900
"""Chelsea""",35043,374900
"""Chelsea""",35043,374900
"""Chelsea""",35043,373900
"""Chelsea""",35043,367400
"""Chelsea""",35043,367400
"""Chelsea""",35043,364900
"""Chelsea""",35043,364900
"""Chelsea""",35043,364900
"""Chelsea""",35043,364900
"""Chelsea""",35043,364900
"""Chelsea""",35043,362400
"""Chelsea""",35043,359900
"""Chelsea""",35043,359900
"""Chelsea""",35043,359000
"""Chelsea""",35043,350000
"""Chelsea""",35043,349900
"""Chelsea""",35043,344900
"""Chelsea""",35043,344900
"""Chelsea""",35043,336511
"""Chelsea""",35043,333000
"""Chelsea""",35043,332000
"""Chelsea""",35043,324900
"""Chelsea""",35043,319900
"""Chelsea""",35043,314900
"""Chelsea""",35043,314900
"""Chelsea""",35043,312745
"""Chelsea""",35043,310625
"""Chelsea""",35043,309800
"""Chelsea""",35043,304900
"""Clanton""",35045,12000000
"""Clanton""",35045,2700000
"""Clanton""",35045,1350000
"""Clanton""",35045,985000
"""Clanton""",35045,730000
"""Clanton""",35045,725000
"""Clanton""",35045,695000
"""Clanton""",35045,680000
"""Clanton""",35045,559900
"""Clanton""",35045,499900
"""Clanton""",35045,489000
"""Clanton""",35045,459900
"""Clanton""",35045,399000
"""Clanton""",35045,399000
"""Clanton""",35045,299000
"""Clanton""",35045,299000
"""Clanton""",35045,285600
"""Clanton""",35045,260999
"""Clanton""",35045,259900
"""Clanton""",35045,259900
"""Clanton""",35045,259900
"""Clanton""",35045,249900
"""Clanton""",35045,239900
"""Clanton""",35045,239000
"""Clanton""",35045,234900
"""Clanton""",35045,230000
"""Clanton""",35045,224900
"""Clanton""",35045,215000
"""Clanton""",35045,210000
"""Clanton""",35045,209900
"""Clanton""",35045,198000
"""Clanton""",35045,194900
"""Clanton""",35045,188900
"""Clanton""",35045,180000
"""Clanton""",35045,179900
"""Clanton""",35045,179900
"""Clanton""",35045,172900
"""Clanton""",35045,169900
"""Clanton""",35045,169900
